timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733313656972,303,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe,Thread Group 1-722,text,false,,2870,0,783,783,http://127.0.0.1:52200/api/portfolio,0,0,301
1733313656975,303,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe,Thread Group 1-723,text,false,,2870,0,783,783,http://127.0.0.1:52200/api/portfolio,0,0,302
1733313657195,102,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe,Thread Group 1-767,text,false,,2870,0,784,784,http://127.0.0.1:52200/api/portfolio,0,0,102
1733313653514,6278,HTTP Request,200,,Thread Group 1-16,text,true,,264,90307,997,997,http://127.0.0.1:52200/api/portfolio,6259,0,60
1733313656200,4305,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-567,text,false,,2069,0,996,996,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656202,4303,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-568,text,false,,2069,0,996,996,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656185,4320,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-565,text,false,,2069,0,996,996,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656179,4326,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-564,text,false,,2069,0,996,996,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656192,4314,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-566,text,false,,2069,0,996,996,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656207,4298,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-569,text,false,,2069,0,996,996,http://127.0.0.1:52200/api/portfolio,0,0,4
1733313656212,4304,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-570,text,false,,2069,0,991,991,http://127.0.0.1:52200/api/portfolio,0,0,77
1733313656288,4228,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-578,text,false,,2069,0,990,990,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656288,4228,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-575,text,false,,2069,0,990,990,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656288,4229,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-579,text,false,,2069,0,988,988,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656289,4228,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-577,text,false,,2069,0,988,988,http://127.0.0.1:52200/api/portfolio,0,0,3
1733313656287,4232,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-571,text,false,,2069,0,985,985,http://127.0.0.1:52200/api/portfolio,0,0,5
1733313656291,4228,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-572,text,false,,2069,0,985,985,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656291,4229,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-574,text,false,,2069,0,984,984,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656291,4230,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-585,text,false,,2069,0,982,982,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656293,4396,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-580,text,false,,2069,0,981,981,http://127.0.0.1:52200/api/portfolio,0,0,3
1733313656296,4393,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-586,text,false,,2069,0,981,981,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313653516,7173,HTTP Request,200,,Thread Group 1-22,text,true,,264,90307,980,980,http://127.0.0.1:52200/api/portfolio,7006,0,59
1733313656294,4393,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-576,text,false,,2069,0,980,980,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656292,4395,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-583,text,false,,2069,0,981,981,http://127.0.0.1:52200/api/portfolio,0,0,3
1733313656346,4347,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-592,text,false,,2069,0,977,977,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656306,4388,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-589,text,false,,2069,0,976,976,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656295,4400,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-573,text,false,,2069,0,976,976,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656297,4399,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-587,text,false,,2069,0,975,975,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656302,4394,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-588,text,false,,2069,0,975,975,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656311,4386,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-590,text,false,,2069,0,973,973,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656315,4375,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-591,text,false,,2069,0,980,980,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656293,4407,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-584,text,false,,2069,0,970,970,http://127.0.0.1:52200/api/portfolio,0,0,3
1733313656346,4355,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-596,text,false,,2069,0,969,969,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656293,4395,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-581,text,false,,2069,0,978,978,http://127.0.0.1:52200/api/portfolio,0,0,3
1733313656293,4399,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-582,text,false,,2069,0,977,977,http://127.0.0.1:52200/api/portfolio,0,0,3
1733313656335,4361,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-593,text,false,,2069,0,975,975,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656346,4454,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-595,text,false,,2069,0,964,964,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656374,4427,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-602,text,false,,2069,0,964,964,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656415,4395,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-609,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656416,4394,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-611,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656415,4395,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-608,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656354,4447,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-599,text,false,,2069,0,964,964,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656365,4436,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-601,text,false,,2069,0,964,964,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656351,4449,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-598,text,false,,2069,0,964,964,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656351,4449,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-597,text,false,,2069,0,964,964,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656361,4441,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-600,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,2
1733313656378,4426,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-603,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656381,4423,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-604,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656376,4429,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-594,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656402,4403,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-606,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656386,4419,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-605,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656407,4398,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-607,text,false,,2069,0,963,963,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656461,4417,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-620,text,false,,2069,0,948,948,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656451,4427,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-618,text,false,,2069,0,948,948,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656468,4410,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-621,text,false,,2069,0,948,948,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656440,4439,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-616,text,false,,2069,0,948,948,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656471,4408,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-622,text,false,,2069,0,947,947,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656437,4442,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-615,text,false,,2069,0,947,947,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656495,4384,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-627,text,false,,2069,0,947,947,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656477,4407,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-623,text,false,,2069,0,945,945,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656480,4404,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-624,text,false,,2069,0,944,944,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656448,4436,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-617,text,false,,2069,0,943,943,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313656488,4396,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-625,text,false,,2069,0,942,942,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656457,4428,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-619,text,false,,2069,0,941,941,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656510,4446,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-630,text,false,,2069,0,936,936,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313656518,4438,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-631,text,false,,2069,0,936,936,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313653513,8060,HTTP Request,200,,Thread Group 1-11,text,true,,264,90307,934,934,http://127.0.0.1:52200/api/portfolio,8045,0,61
1733313653513,8100,HTTP Request,200,,Thread Group 1-1,text,true,,264,90307,933,933,http://127.0.0.1:52200/api/portfolio,8100,0,60
1733313653516,12160,HTTP Request,200,,Thread Group 1-20,text,true,,264,90307,932,932,http://127.0.0.1:52200/api/portfolio,12103,0,58
1733313654066,11826,HTTP Request,200,,Thread Group 1-141,text,true,,264,90307,931,931,http://127.0.0.1:52200/api/portfolio,11826,0,1
1733313657451,9104,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-818,text,false,,2069,0,930,930,http://127.0.0.1:52200/api/portfolio,0,0,0
1733313657459,9097,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-820,text,false,,2069,0,930,930,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313657456,9101,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 127.0.0.1:52200 failed to respond,Thread Group 1-819,text,false,,2069,0,929,929,http://127.0.0.1:52200/api/portfolio,0,0,1
1733313653553,13962,HTTP Request,200,,Thread Group 1-37,text,true,,264,90307,927,927,http://127.0.0.1:52200/api/portfolio,13923,0,21
1733313653514,14199,HTTP Request,200,,Thread Group 1-7,text,true,,264,90307,926,926,http://127.0.0.1:52200/api/portfolio,14163,0,59
1733313653516,14209,HTTP Request,200,,Thread Group 1-30,text,true,,264,90307,925,925,http://127.0.0.1:52200/api/portfolio,14209,0,59
1733313653519,14348,HTTP Request,200,,Thread Group 1-28,text,true,,264,90307,924,924,http://127.0.0.1:52200/api/portfolio,14303,0,56
1733313653770,14248,HTTP Request,200,,Thread Group 1-82,text,true,,264,90307,923,923,http://127.0.0.1:52200/api/portfolio,14215,0,1
1733313655020,13065,HTTP Request,200,,Thread Group 1-331,text,true,,264,90307,922,922,http://127.0.0.1:52200/api/portfolio,13065,0,14
1733313654401,13792,HTTP Request,200,,Thread Group 1-207,text,true,,264,90307,921,921,http://127.0.0.1:52200/api/portfolio,13754,0,684
1733313653515,15108,HTTP Request,200,,Thread Group 1-24,text,true,,264,90307,920,920,http://127.0.0.1:52200/api/portfolio,15108,0,60
1733313653518,15164,HTTP Request,200,,Thread Group 1-31,text,true,,264,90307,919,919,http://127.0.0.1:52200/api/portfolio,15116,0,57
1733313657616,11243,HTTP Request,200,,Thread Group 1-851,text,true,,264,90307,918,918,http://127.0.0.1:52200/api/portfolio,11243,0,1
1733313654192,14690,HTTP Request,200,,Thread Group 1-155,text,true,,264,90307,917,917,http://127.0.0.1:52200/api/portfolio,14690,0,6
1733313653915,14967,HTTP Request,200,,Thread Group 1-110,text,true,,264,90307,917,917,http://127.0.0.1:52200/api/portfolio,14967,0,1
1733313654826,14089,HTTP Request,200,,Thread Group 1-293,text,true,,264,90307,915,915,http://127.0.0.1:52200/api/portfolio,14089,0,212
1733313654057,14918,HTTP Request,200,,Thread Group 1-136,text,true,,264,90307,914,914,http://127.0.0.1:52200/api/portfolio,14918,0,1
1733313655719,13333,HTTP Request,200,,Thread Group 1-472,text,true,,264,90307,913,913,http://127.0.0.1:52200/api/portfolio,13296,0,1
1733313653696,15375,HTTP Request,200,,Thread Group 1-67,text,true,,264,90307,912,912,http://127.0.0.1:52200/api/portfolio,15375,0,1
1733313655030,14090,HTTP Request,200,,Thread Group 1-334,text,true,,264,90307,911,911,http://127.0.0.1:52200/api/portfolio,14069,0,2
1733313654755,14610,HTTP Request,200,,Thread Group 1-279,text,true,,264,90307,910,910,http://127.0.0.1:52200/api/portfolio,14569,0,282
1733313654205,15164,HTTP Request,200,,Thread Group 1-168,text,true,,264,90307,909,909,http://127.0.0.1:52200/api/portfolio,15164,0,827
1733313655686,13818,HTTP Request,200,,Thread Group 1-465,text,true,,264,90307,908,908,http://127.0.0.1:52200/api/portfolio,13774,0,1
1733313653557,16095,HTTP Request,200,,Thread Group 1-39,text,true,,264,90307,907,907,http://127.0.0.1:52200/api/portfolio,16095,0,19
1733313653564,16137,HTTP Request,200,,Thread Group 1-41,text,true,,264,90307,906,906,http://127.0.0.1:52200/api/portfolio,16098,0,12
1733313655695,14008,HTTP Request,200,,Thread Group 1-467,text,true,,264,90307,906,906,http://127.0.0.1:52200/api/portfolio,14008,0,1
1733313655715,14043,HTTP Request,200,,Thread Group 1-471,text,true,,264,90307,904,904,http://127.0.0.1:52200/api/portfolio,14043,0,1
1733313655595,14324,HTTP Request,200,,Thread Group 1-447,text,true,,264,90307,903,903,http://127.0.0.1:52200/api/portfolio,14292,0,1
1733313653962,15962,HTTP Request,200,,Thread Group 1-120,text,true,,264,90307,902,902,http://127.0.0.1:52200/api/portfolio,15957,0,1
1733313654951,15028,HTTP Request,200,,Thread Group 1-318,text,true,,264,90307,901,901,http://127.0.0.1:52200/api/portfolio,15028,0,94
1733313653576,16481,HTTP Request,200,,Thread Group 1-42,text,true,,264,90307,900,900,http://127.0.0.1:52200/api/portfolio,16481,0,1
1733313655626,14481,HTTP Request,200,,Thread Group 1-453,text,true,,264,90307,899,899,http://127.0.0.1:52200/api/portfolio,14481,0,0
1733313653519,16586,HTTP Request,200,,Thread Group 1-14,text,true,,264,90307,899,899,http://127.0.0.1:52200/api/portfolio,16547,0,63
1733313654060,16270,HTTP Request,200,,Thread Group 1-140,text,true,,264,90307,897,897,http://127.0.0.1:52200/api/portfolio,16230,0,1
1733313653551,16780,HTTP Request,200,,Thread Group 1-38,text,true,,264,90307,897,897,http://127.0.0.1:52200/api/portfolio,16780,0,24
1733313655676,14655,HTTP Request,200,,Thread Group 1-463,text,true,,264,90307,897,897,http://127.0.0.1:52200/api/portfolio,14655,0,0
1733313655001,15330,HTTP Request,200,,Thread Group 1-328,text,true,,264,90307,897,897,http://127.0.0.1:52200/api/portfolio,15330,0,39
1733313654009,16350,HTTP Request,200,,Thread Group 1-129,text,true,,264,90307,893,893,http://127.0.0.1:52200/api/portfolio,16350,0,1
1733313654085,16304,HTTP Request,200,,Thread Group 1-145,text,true,,264,90307,892,892,http://127.0.0.1:52200/api/portfolio,16304,0,1
1733313654264,16171,HTTP Request,200,,Thread Group 1-181,text,true,,264,90307,891,891,http://127.0.0.1:52200/api/portfolio,16128,0,781
1733313654365,16071,HTTP Request,200,,Thread Group 1-201,text,true,,264,90307,890,890,http://127.0.0.1:52200/api/portfolio,16071,0,669
1733313655087,15349,HTTP Request,200,,Thread Group 1-345,text,true,,264,90307,890,890,http://127.0.0.1:52200/api/portfolio,15349,0,1
1733313654188,16299,HTTP Request,200,,Thread Group 1-149,text,true,,264,90307,888,888,http://127.0.0.1:52200/api/portfolio,16299,0,3
1733313657534,12966,HTTP Request,200,,Thread Group 1-835,text,true,,264,90307,887,887,http://127.0.0.1:52200/api/portfolio,12966,0,1
1733313657500,13006,HTTP Request,200,,Thread Group 1-827,text,true,,264,90307,886,886,http://127.0.0.1:52200/api/portfolio,13006,0,1
1733313653531,16981,HTTP Request,200,,Thread Group 1-34,text,true,,264,90307,885,885,http://127.0.0.1:52200/api/portfolio,16981,0,44
1733313653522,17080,HTTP Request,200,,Thread Group 1-32,text,true,,264,90307,884,884,http://127.0.0.1:52200/api/portfolio,17079,0,53
1733313653513,17220,HTTP Request,200,,Thread Group 1-15,text,true,,264,90307,883,883,http://127.0.0.1:52200/api/portfolio,17220,0,61
1733313653515,17413,HTTP Request,200,,Thread Group 1-26,text,true,,264,90307,882,882,http://127.0.0.1:52200/api/portfolio,17412,0,60
1733313657578,13475,HTTP Request,200,,Thread Group 1-843,text,true,,264,90307,881,881,http://127.0.0.1:52200/api/portfolio,13475,0,0
1733313655205,15858,HTTP Request,200,,Thread Group 1-369,text,true,,264,90307,880,880,http://127.0.0.1:52200/api/portfolio,15858,0,1
1733313653951,17112,HTTP Request,200,,Thread Group 1-118,text,true,,264,90307,880,880,http://127.0.0.1:52200/api/portfolio,17112,0,1
1733313654976,16132,HTTP Request,200,,Thread Group 1-322,text,true,,264,90307,878,878,http://127.0.0.1:52200/api/portfolio,16125,0,62
1733313657598,13553,HTTP Request,200,,Thread Group 1-847,text,true,,264,90307,877,877,http://127.0.0.1:52200/api/portfolio,13538,0,1
1733313654359,16824,HTTP Request,200,,Thread Group 1-199,text,true,,264,90307,876,876,http://127.0.0.1:52200/api/portfolio,16824,0,675
1733313654190,17019,HTTP Request,200,,Thread Group 1-157,text,true,,264,90307,875,875,http://127.0.0.1:52200/api/portfolio,17019,0,5
1733313657600,13629,HTTP Request,200,,Thread Group 1-846,text,true,,264,90307,874,874,http://127.0.0.1:52200/api/portfolio,13623,0,1
1733313654189,17130,HTTP Request,200,,Thread Group 1-153,text,true,,264,90307,873,873,http://127.0.0.1:52200/api/portfolio,17092,0,5
1733313656177,15143,HTTP Request,200,,Thread Group 1-563,text,true,,264,90307,873,873,http://127.0.0.1:52200/api/portfolio,15143,0,1
1733313657600,13720,HTTP Request,200,,Thread Group 1-848,text,true,,264,90307,873,873,http://127.0.0.1:52200/api/portfolio,13720,0,1
1733313653601,17766,HTTP Request,200,,Thread Group 1-48,text,true,,264,90307,870,870,http://127.0.0.1:52200/api/portfolio,17766,0,1
1733313655660,15755,HTTP Request,200,,Thread Group 1-460,text,true,,264,90307,869,869,http://127.0.0.1:52200/api/portfolio,15712,0,1
1733313654073,17342,HTTP Request,200,,Thread Group 1-142,text,true,,264,90307,869,869,http://127.0.0.1:52200/api/portfolio,17342,0,1
1733313653995,17496,HTTP Request,200,,Thread Group 1-126,text,true,,264,90307,867,867,http://127.0.0.1:52200/api/portfolio,17496,0,1
1733313654189,17329,HTTP Request,200,,Thread Group 1-156,text,true,,264,90307,866,866,http://127.0.0.1:52200/api/portfolio,17329,0,5
1733313657605,13913,HTTP Request,200,,Thread Group 1-849,text,true,,264,90307,866,866,http://127.0.0.1:52200/api/portfolio,13913,0,1
1733313654187,17332,HTTP Request,200,,Thread Group 1-154,text,true,,264,90307,865,865,http://127.0.0.1:52200/api/portfolio,17332,0,3
1733313654765,16798,HTTP Request,200,,Thread Group 1-281,text,true,,264,90307,863,863,http://127.0.0.1:52200/api/portfolio,16798,0,271
1733313654554,17101,HTTP Request,200,,Thread Group 1-238,text,true,,264,90307,862,862,http://127.0.0.1:52200/api/portfolio,17101,0,489
1733313657555,14105,HTTP Request,200,,Thread Group 1-839,text,true,,264,90307,861,861,http://127.0.0.1:52200/api/portfolio,14105,0,0
1733313654194,17509,HTTP Request,200,,Thread Group 1-162,text,true,,264,90307,860,860,http://127.0.0.1:52200/api/portfolio,17469,0,3
1733313653930,17988,HTTP Request,200,,Thread Group 1-114,text,true,,264,90307,859,859,http://127.0.0.1:52200/api/portfolio,17988,0,1
1733313654363,17562,HTTP Request,200,,Thread Group 1-200,text,true,,264,90307,858,858,http://127.0.0.1:52200/api/portfolio,17562,0,672
1733313653990,18236,HTTP Request,200,,Thread Group 1-125,text,true,,264,90307,857,857,http://127.0.0.1:52200/api/portfolio,18236,0,0
1733313657483,14751,HTTP Request,200,,Thread Group 1-824,text,true,,264,90307,856,856,http://127.0.0.1:52200/api/portfolio,14745,0,1
1733313654374,17861,HTTP Request,200,,Thread Group 1-203,text,true,,264,90307,856,856,http://127.0.0.1:52200/api/portfolio,17861,0,668
1733313655211,17098,HTTP Request,200,,Thread Group 1-370,text,true,,264,90307,854,854,http://127.0.0.1:52200/api/portfolio,17060,0,1
1733313653537,18773,HTTP Request,200,,Thread Group 1-35,text,true,,264,90307,854,854,http://127.0.0.1:52200/api/portfolio,18773,0,37
1733313654977,17632,HTTP Request,200,,Thread Group 1-323,text,true,,264,90307,852,852,http://127.0.0.1:52200/api/portfolio,17632,0,61
1733313654220,18442,HTTP Request,200,,Thread Group 1-172,text,true,,264,90307,851,851,http://127.0.0.1:52200/api/portfolio,18399,0,813
1733313654804,17858,HTTP Request,200,,Thread Group 1-289,text,true,,264,90307,851,851,http://127.0.0.1:52200/api/portfolio,17858,0,235
1733313657484,15472,HTTP Request,200,,Thread Group 1-825,text,true,,264,90307,849,849,http://127.0.0.1:52200/api/portfolio,15431,0,1
